Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,0.0,-4.0,0.0,-4.0,-1.0,-0.0,0.0,0.0,0
2012,0.0,-4.0,0.0,-4.0,-1.0,-0.0,3.0,0.0,0
2013,0.0,-4.0,0.0,-4.0,-1.0,-0.0,1.0,0.01,0
2014,2.0,-5.0,-0.01,-5.0,5.0,0.0,-6.0,-0.03,-25
2015,2.0,-5.0,-0.01,-4.0,-2.0,-0.0,-8.0,-0.08,0
2016,4.0,-11.0,-0.11,-10.0,-1.0,-0.0,-7.0,-0.09,-120
2017,4.0,-12.0,-0.18,-10.0,0.0,0.0,-10.0,-0.15,-9
2018,4.0,-6.0,-0.08,-5.0,0.0,0.0,-4.0,-0.06,49
2019,3.0,-2.0,-0.04,-2.0,0.0,0.0,0.0,0.0,66
2020,3.0,-2.0,-0.02,-2.0,-2.0,-0.0,-2.0,-0.09,0
